GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AbrigoCanino,app.AbrigoCanino.configuracoes,MensagensDeErro,3,0,0,0,1,0,1,0,1,0
AbrigoCanino,app.AbrigoCanino.configuracoes,ObjetoResposta,48,68,14,8,0,3,11,9,1,8
AbrigoCanino,app.AbrigoCanino.configuracoes,EnderecoEndPoint,3,0,0,0,1,0,1,0,1,0
AbrigoCanino,app.AbrigoCanino.configuracoes,MensagensDeSucesso,3,0,0,0,1,0,1,0,1,0
AbrigoCanino,app.AbrigoCanino.controllers,TutorController,27,85,0,0,9,22,0,6,0,6
AbrigoCanino,app.AbrigoCanino.controllers,CachorroController,36,76,0,0,12,19,0,6,0,6
AbrigoCanino,app.AbrigoCanino.controllers,ColaboradorController,27,87,0,0,9,23,0,6,0,6
AbrigoCanino,app.AbrigoCanino.controllers,RequerimentoController,36,76,0,0,10,21,0,6,0,6
AbrigoCanino,app.AbrigoCanino,AbrigoCaninoApplication,0,8,0,0,0,3,0,2,0,2
AbrigoCanino,app.AbrigoCanino.entities,TutorEntity,28,28,0,0,3,5,4,8,4,8
AbrigoCanino,app.AbrigoCanino.entities,PessoaEntity,9,15,0,0,3,2,3,4,3,4
AbrigoCanino,app.AbrigoCanino.entities,Porte,0,21,0,0,0,4,0,1,0,1
AbrigoCanino,app.AbrigoCanino.entities,RequerimentoEntity,12,14,0,0,2,3,2,4,2,4
AbrigoCanino,app.AbrigoCanino.entities,Permissao,0,15,0,0,0,3,0,1,0,1
AbrigoCanino,app.AbrigoCanino.entities,CachorroEntity,83,23,0,0,11,2,16,6,16,6
AbrigoCanino,app.AbrigoCanino.entities,AbstractEntity,13,17,0,0,3,4,2,5,2,5
AbrigoCanino,app.AbrigoCanino.entities,ColaboradorEntity,25,11,0,0,4,2,5,3,5,3
AbrigoCanino,app.AbrigoCanino.service,RequerimentoService,70,75,8,4,13,16,7,9,2,8
AbrigoCanino,app.AbrigoCanino.service,CachorroService,5,48,1,1,1,13,1,7,0,7
AbrigoCanino,app.AbrigoCanino.service,TutorService,9,89,3,11,3,20,3,12,0,8
AbrigoCanino,app.AbrigoCanino.service,ColaboradorService,5,56,1,5,1,15,1,8,0,6
